serum,virus,replicate,concentration,fraction infectivity
3975,HK19,2,9.77E-05,1.057603493
3975,HK19,2,4.88E-05,0.927626858
2323,HK19,1,0.0125,0.009836934
2323,HK19,1,0.00625,0.025992286
2323,HK19,1,0.003125,0.105029047
2323,HK19,1,0.0015625,0.374358106
2323,HK19,1,0.00078125,0.590780592
2323,HK19,1,0.000390625,0.787145116
2323,HK19,1,0.000195313,0.917371846
2323,HK19,1,9.77E-05,0.978532068
2323,HK19,1,4.88E-05,0.76295103
2323,HK19,1,2.44E-05,0.803300025
2323,HK19,2,0.0125,0.006961522
2323,HK19,2,0.00625,0.022230245
2323,HK19,2,0.003125,0.089767433
2323,HK19,2,0.0015625,0.429810206
2323,HK19,2,0.00078125,0.612319468
2323,HK19,2,0.000390625,0.79463815
2323,HK19,2,0.000195313,0.993869645
2323,HK19,2,9.77E-05,0.872761365
2323,HK19,2,4.88E-05,1.014227208
2323,HK19,2,2.44E-05,1.114871106
2324,HK19,1,0.1,0.022574654
2324,HK19,1,0.05,0.061894565
2324,HK19,1,0.025,0.206751736
2324,HK19,1,0.0125,0.438701127
2324,HK19,1,0.00625,0.402322905
2324,HK19,1,0.003125,0.695368144
2324,HK19,1,0.0015625,1.159105622
2324,HK19,2,0.1,0.023146164
2324,HK19,2,0.05,0.044865912
2324,HK19,2,0.025,0.191568406
2324,HK19,2,0.0125,0.336470068
2324,HK19,2,0.00625,0.341843675
2324,HK19,2,0.003125,0.468448033
2324,HK19,2,0.0015625,1.039589662
2325,HK19,1,0.05,0.036290899
2325,HK19,1,0.025,0.03589273
2325,HK19,1,0.0125,0.314111883
2325,HK19,1,0.00625,0.417760106
2325,HK19,1,0.003125,0.558752747
2325,HK19,1,0.0015625,0.678129111
2325,HK19,1,0.00078125,0.970071212
2325,HK19,2,0.05,0.030290041
2325,HK19,2,0.025,0.033751402
2325,HK19,2,0.0125,0.323588004
2325,HK19,2,0.00625,0.318709962
2325,HK19,2,0.003125,0.716438213
2325,HK19,2,0.0015625,0.855691149
2325,HK19,2,0.00078125,1.253224441
2354,HK19,1,0.1,0.157384791
2354,HK19,1,0.05,0.263839381
2354,HK19,1,0.025,0.347459191
2354,HK19,1,0.0125,0.454160398
2354,HK19,1,0.00625,0.374607165
2354,HK19,1,0.003125,0.366040636
2354,HK19,1,0.0015625,0.868788224
2354,HK19,1,0.00078125,0.945512687
2354,HK19,1,0.000390625,1.055940503
2354,HK19,1,0.000195313,0.96403942
2354,HK19,1,9.77E-05,1.016196091
2354,HK19,1,4.88E-05,1.632076591
2354,HK19,2,0.1,0.248005211
2354,HK19,2,0.05,0.249398288
2354,HK19,2,0.025,0.339337043
2354,HK19,2,0.0125,0.52035644
2354,HK19,2,0.00625,0.506868995
2354,HK19,2,0.003125,0.399936937
2354,HK19,2,0.0015625,0.721219032
2354,HK19,2,0.00078125,0.93076955
2354,HK19,2,0.000390625,1.007806726
2354,HK19,2,0.000195313,0.98222638
2354,HK19,2,9.77E-05,1.046106112
2354,HK19,2,4.88E-05,1.640701033
2367,HK19,1,0.00625,0.025240189
2367,HK19,1,0.003125,-0.02114371
2367,HK19,1,0.0015625,-0.003902851
2367,HK19,1,0.00078125,-0.008239787
2367,HK19,1,0.000390625,0.011134058
2367,HK19,1,0.000195313,0.145359951
2367,HK19,1,9.77E-05,0.340043537
2367,HK19,1,4.88E-05,0.731924083
2367,HK19,1,2.44E-05,0.842017738
2367,HK19,1,1.22E-05,0.759066287
2367,HK19,1,6.10E-06,0.879553211
2367,HK19,2,0.00625,0.014737014
2367,HK19,2,0.003125,-0.023093562
2367,HK19,2,0.0015625,-0.018459429
2367,HK19,2,0.00078125,-0.014998264
2367,HK19,2,0.000390625,0.005118075
2367,HK19,2,0.000195313,0.065782472
2367,HK19,2,9.77E-05,0.287882243
2367,HK19,2,4.88E-05,0.570206404
2367,HK19,2,2.44E-05,0.725517369
2367,HK19,2,1.22E-05,0.857919812
2367,HK19,2,6.10E-06,0.892543179
2368,HK19,1,0.1,0.223394648
2368,HK19,1,0.05,0.193951874
2368,HK19,1,0.025,0.28515625
2368,HK19,1,0.0125,0.576536635
2368,HK19,1,0.00625,0.622208551
2368,HK19,1,0.003125,0.821962473
2368,HK19,1,0.0015625,0.647247001
2368,HK19,1,0.00078125,1.645524454
2368,HK19,1,0.000390625,1.805475238
2368,HK19,1,0.000195313,1.473672777
2368,HK19,1,9.77E-05,1.624441133
2368,HK19,1,4.88E-05,1.455333976
2368,HK19,2,0.1,0.227862541
2368,HK19,2,0.05,0.151088739
2368,HK19,2,0.025,0.270170455
2368,HK19,2,0.0125,0.549935224
2368,HK19,2,0.00625,0.656228853
2368,HK19,2,0.003125,0.921685635
2368,HK19,2,0.0015625,0.964933867
