serum,virus,replicate,concentration,fraction infectivity
2380,4645_south-auck-20,2,0.01875,0.020447531
2380,4645_south-auck-20,2,0.009375,0.086454483
2380,4645_south-auck-20,2,0.0046875,0.286595992
2380,4645_south-auck-20,2,0.00234375,0.550346731
2380,4645_south-auck-20,2,0.001171875,0.752454542
2380,4645_south-auck-20,2,0.000585938,0.865120945
2380,4645_south-auck-20,2,0.000292969,0.898109205
2380,4645_south-auck-20,2,0.000146484,0.918875783
2380,4645_south-auck-20,2,7.32E-05,0.855619805
199C,4645_south-auck-20,1,0.1,0.068480066
199C,4645_south-auck-20,1,0.05,0.03496669
199C,4645_south-auck-20,1,0.025,0.012766554
199C,4645_south-auck-20,1,0.0125,0.026005037
199C,4645_south-auck-20,1,0.00625,0.16014377
199C,4645_south-auck-20,1,0.003125,0.426443532
199C,4645_south-auck-20,1,0.0015625,0.633041506
199C,4645_south-auck-20,1,0.00078125,0.818080482
199C,4645_south-auck-20,1,0.000390625,0.830011337
199C,4645_south-auck-20,1,0.000195313,0.914360232
199C,4645_south-auck-20,1,9.77E-05,0.804047705
199C,4645_south-auck-20,2,0.1,0.080938538
199C,4645_south-auck-20,2,0.05,0.026005208
199C,4645_south-auck-20,2,0.025,0.008943603
199C,4645_south-auck-20,2,0.0125,0.02875274
199C,4645_south-auck-20,2,0.00625,0.144931746
199C,4645_south-auck-20,2,0.003125,0.399801868
199C,4645_south-auck-20,2,0.0015625,0.623117003
199C,4645_south-auck-20,2,0.00078125,0.769962472
199C,4645_south-auck-20,2,0.000390625,0.787514172
199C,4645_south-auck-20,2,0.000195313,0.884931294
199C,4645_south-auck-20,2,9.77E-05,0.818286953
2380,4646_zhejiang-22,1,0.075,0.048131218
2380,4646_zhejiang-22,1,0.0375,0.042608804
2380,4646_zhejiang-22,1,0.01875,0.226851269
2380,4646_zhejiang-22,1,0.009375,0.860706592
2380,4646_zhejiang-22,1,0.0046875,0.632011244
2380,4646_zhejiang-22,1,0.00234375,0.586572438
2380,4646_zhejiang-22,1,0.001171875,0.773743688
2380,4646_zhejiang-22,1,0.000585938,0.714414091
2380,4646_zhejiang-22,1,0.000292969,0.725542495
2380,4646_zhejiang-22,1,0.000146484,0.705056059
2380,4646_zhejiang-22,1,7.32E-05,0.635230373
2380,4646_zhejiang-22,2,0.075,0.064802366
2380,4646_zhejiang-22,2,0.0375,0.041156702
2380,4646_zhejiang-22,2,0.01875,0.227606461
2380,4646_zhejiang-22,2,0.009375,0.935458854
2380,4646_zhejiang-22,2,0.0046875,0.659067949
2380,4646_zhejiang-22,2,0.00234375,0.61577292
2380,4646_zhejiang-22,2,0.001171875,0.799519115
2380,4646_zhejiang-22,2,0.000585938,0.728657441
2380,4646_zhejiang-22,2,0.000292969,0.772061483
2380,4646_zhejiang-22,2,0.000146484,0.706129988
2380,4646_zhejiang-22,2,7.32E-05,0.642997878
199C,4646_zhejiang-22,1,0.1,0.109653133
199C,4646_zhejiang-22,1,0.05,0.143384641
199C,4646_zhejiang-22,1,0.025,0.280218167
199C,4646_zhejiang-22,1,0.0125,0.384704869
199C,4646_zhejiang-22,1,0.00625,0.533227918
199C,4646_zhejiang-22,1,0.003125,0.566069972
199C,4646_zhejiang-22,1,0.0015625,0.772252945
199C,4646_zhejiang-22,1,0.00078125,0.714099569
199C,4646_zhejiang-22,1,0.000390625,0.751853526
199C,4646_zhejiang-22,1,0.000195313,0.698827269
199C,4646_zhejiang-22,1,9.77E-05,0.575022734
199C,4646_zhejiang-22,2,0.1,0.088034418
199C,4646_zhejiang-22,2,0.05,0.156743974
199C,4646_zhejiang-22,2,0.025,0.320159429
199C,4646_zhejiang-22,2,0.0125,0.379922447
199C,4646_zhejiang-22,2,0.00625,0.508015988
199C,4646_zhejiang-22,2,0.003125,0.522541063
199C,4646_zhejiang-22,2,0.0015625,0.728829045
199C,4646_zhejiang-22,2,0.00078125,0.697115385
199C,4646_zhejiang-22,2,0.000390625,0.752848101
199C,4646_zhejiang-22,2,0.000195313,0.731002191
199C,4646_zhejiang-22,2,9.77E-05,0.586162473
