serum,virus,replicate,concentration,fraction infectivity
2380,4645_south-auck-20,1,0.000585938,0.844684725
2380,4645_south-auck-20,1,0.000292969,0.873020517
2380,4645_south-auck-20,1,0.000146484,0.933745961
2380,4645_south-auck-20,1,7.32E-05,0.842753885
2380,4645_south-auck-20,2,0.075,0.06083887
2380,4645_south-auck-20,2,0.0375,0.017584796
2380,4645_south-auck-20,2,0.01875,0.020447531
2380,4645_south-auck-20,2,0.009375,0.086454483
2380,4645_south-auck-20,2,0.0046875,0.286595992
2380,4645_south-auck-20,2,0.00234375,0.550346731
2380,4645_south-auck-20,2,0.001171875,0.752454542
2380,4645_south-auck-20,2,0.000585938,0.865120945
2380,4645_south-auck-20,2,0.000292969,0.898109205
2380,4645_south-auck-20,2,0.000146484,0.918875783
2380,4645_south-auck-20,2,7.32E-05,0.855619805
199C,4645_south-auck-20,1,0.1,0.068480066
199C,4645_south-auck-20,1,0.05,0.03496669
199C,4645_south-auck-20,1,0.025,0.012766554
199C,4645_south-auck-20,1,0.0125,0.026005037
199C,4645_south-auck-20,1,0.00625,0.16014377
199C,4645_south-auck-20,1,0.003125,0.426443532
199C,4645_south-auck-20,1,0.0015625,0.633041506
199C,4645_south-auck-20,1,0.00078125,0.818080482
199C,4645_south-auck-20,1,0.000390625,0.830011337
199C,4645_south-auck-20,1,0.000195313,0.914360232
199C,4645_south-auck-20,1,9.77E-05,0.804047705
199C,4645_south-auck-20,2,0.1,0.080938538
199C,4645_south-auck-20,2,0.05,0.026005208
199C,4645_south-auck-20,2,0.025,0.008943603
199C,4645_south-auck-20,2,0.0125,0.02875274
199C,4645_south-auck-20,2,0.00625,0.144931746
199C,4645_south-auck-20,2,0.003125,0.399801868
199C,4645_south-auck-20,2,0.0015625,0.623117003
199C,4645_south-auck-20,2,0.00078125,0.769962472
199C,4645_south-auck-20,2,0.000390625,0.787514172
199C,4645_south-auck-20,2,0.000195313,0.884931294
199C,4645_south-auck-20,2,9.77E-05,0.818286953
2380,4646_zhejiang-22,1,0.075,0.052594464
2380,4646_zhejiang-22,1,0.0375,0.060351413
2380,4646_zhejiang-22,1,0.01875,0.317741082
2380,4646_zhejiang-22,1,0.0046875,0.845566199
2380,4646_zhejiang-22,1,0.00234375,0.887700535
2380,4646_zhejiang-22,1,0.001171875,0.945525063
2380,4646_zhejiang-22,1,0.000585938,0.934359758
2380,4646_zhejiang-22,1,0.000292969,0.943115708
2380,4646_zhejiang-22,1,0.000146484,0.964506082
2380,4646_zhejiang-22,1,7.32E-05,0.985191279
2380,4646_zhejiang-22,2,0.075,0.070811541
2380,4646_zhejiang-22,2,0.0375,0.058294647
2380,4646_zhejiang-22,2,0.01875,0.318798848
2380,4646_zhejiang-22,2,0.0046875,0.881765294
2380,4646_zhejiang-22,2,0.00234375,0.931891638
2380,4646_zhejiang-22,2,0.001171875,0.977022977
2380,4646_zhejiang-22,2,0.000585938,0.952988188
2380,4646_zhejiang-22,2,0.000292969,1.003584651
